party,emoji,entropy
Chile Let's Go,"['😊', '🇨🇱', '😠', '😂', '🤔', '🤔', '😠', '🦖', '😡', '🔥', '😡', '✊', '😡', '😠', '😐', '😠', '😊', '😠', '😊', '🥳', '😊', '😡', '🤔', '😤', '💙', '😡', '🔥', '😠', '😠', '😠', '😍', '😠', '❤️\u200d🔥', '😠', '😡', '❤️', '😊', '✊', '😡', '😊', '😤', '😊', '😡', '😠', '😊', '🥳', '😊', '😡', '😠', '🤝', '☹️', '😡', '😠', '😊', '🇨🇱', '😡', '🇨🇱', '😊', '😂', '😠', '🤗', '🇨🇱', '👍', '😠', '😊', '🤝', '😥', '🥳', '😊', '😡', '😠', '❤️\u200d🔥', '🎉', '😡', '🤔', '😊', '😠', '😊', '😠', '😬', '😖', '😡', '🔥', '🥰', '🥨', '😂', '👍', '😠', '😡', '😠', '😊', '🟥', '😭', '😡', '😊', '😡', '🇨🇱', '😡', '😠', '🔥', '😊', '💪', '❤️', '😡', '😠', '😠', '❤️', '😠', '😊', '😠', '💪', '➡️', '😡', '😠', '😊', '😞', '😔', '✨', '😡', '😊', '😡', '💖', '✋', '😡', '😊', '😠', '😊', '😊', '🥳', '😊', '😡', '😠', '😊', '❤️', '😠', '✊', '😠', '😠', '😊', '💪', '😤', '😡', '😠', '😡', '😊', '❤️', '🇨🇱', '🔥', '😡', '😊', '❤️', '😠', '✊', '😠', '🤝', '😠', '🥳', '💖', '😡', '😠', '😠', '😠', '😊', '🇨🇱', '🧡', '😡', '🤞', '😈', '😡', '🔥', '😡', '😠', '🟥', '❤️\u200d🔥', '✊', '😂', '😂', '😠', '😡', '😠']",3.9064
Australian Labor Party,"['😊', '😡', '😠', '😅', '😡', '😊', '😞', '✊', '😨', '😊', '❤️', '💔', '❤️', '😄', '😡', '😡', '😡', '😡', '😊', '😔', '😠', '❤️', '😡', '😡', '🤔', '😢', '👷', '✊', '😊', '😊', '💪', '✨', '😠', '😠', '😊', '🔴', '🧡', '👍', '😊', '💪', '😡', '😠', '😊', '😡', '💪', '🔒', '😊', '🤝', '❤️', '😊', '😡', '😡', '💔', '😡', '🇦🇺', '💪', '🤑', '❤️\u200d🔥', '😡', '😊', '😢', '💪', '🤰', '😡', '🔴', '❤️', '💔', '🤝', '✊', '😊', '😡', '😠', '😊', '😡', '😥', '😡', '😠', '😊', '😞', '🥳', '😊', '😡', '🔴', '❤️', '❤️', '❤️', '😊', '😡', '😡', '😔', '❤️', '😭', '🥳', '😊', '😡', '😠', '😊', '😔', '🫥', '💙', '😡', '🟥', '😞', '🥳', '☀️', '😠', '😡', '😡', '❤️', '💪', '❤️', '😡', '😡', '😊', '😢', '🤔', '😊', '😊', '❤️', '❤️', '😕', '😡', '😡', '😞', '😞', '🔴', '😊', '😢', '😡', '🤝', '😡', '😠', '😊', '😑', '😡', '😊', '❤️', '💔', '❤️', '💪', '😡', '😠', '🇦🇺', '😡', '🤝', '❤️', '💪', '😢', '😡', '😊', '😠', '✊', '😊', '😡', '❤️', '❤️', '😔', '😡', '💔', '😡', '🔴', '😠', '😊', '😠', '💪', '😡', '😡', '😊', '😟', '💪', '😊', '😊', '❤️', '😢', '💪', '😅', '😠', '😡', '❤️', '😡']",3.8905
Bloc Quebecois,"['🇨🇦', '❤️', '🍁', '😠', '😡', '😠', '🤝', '😠', '🤔', '😠', '😠', '😡', '😊', '❤️', '🤔', '😠', '😞', '🔥', '🤞', '🍁', '😠', '😡', '😡', '😊', '💪', '🤯', '✊', '😡', '🧡', '🤔', '😊', '😡', '😞', '😭', '😡', '😠', '😊', '😭', '🍁', '💙', '😡', '😠', '🧡', '😤', '🤔', '😠', '😡', '😊', '😡', '🤯', '❤️', '😠', '😞', '😠', '😊', '😡', '🤨', '😡', '😠', '🤝', '😡', '🤔', '🇨🇦', '😡', '🧡', '💪', '🍁', '😊', '😡', '😞', '❤️', '😠', '😊', '😠', '😂', '🙏', '😠', '😠', '🤝', '😡', '🤔', '🐻', '😡', '😠', '😊', '😡', '🤔', '😠', '😞', '😠', '😊', '🤔', '😠', '😡', '🇫🇷', '😠', '😬', '🇨🇦', '😡', '😠', '😊', '😤', '❤️', '😡', '💪', '🔥', '😢', '😞', '😊', '🌳', '😠', '😡', '😡', '🤔', '😡', '💪', '🇨🇦', '😡', '😡', '😊', '❤️\u200d🔥', '🍁', '😠', '😡', '😞', '🙏', '😊', '🇨🇦', '🤔', '✊', '😡', '😡', '🤞', '💪', '🗳️', '😤', '😤', '😊', '😡', '🤔', '😡', '😞', '🗣️', '😠', '🧡', '💪', '🤔', '❤️', '😡', '🤔', '😡', '😤', '🍁', '😡', '😠', '😊', '🤔', '💪', '😡', '😡', '❤️', '😞', '😊', '❤️', '🤢', '🤔', '😡', '😡', '🥺', '❤️', '💪', '🔥', '😡', '😊', '😡', '🍁', '❤️', '😡', '😞', '😠']",3.8877
Scottish National Party,"['😊', '😔', '😡', '😊', '🌱', '💪', '😠', '🟨', '😊', '😊', '💪', '🤔', '✊', '😠', '😊', '🪐', '😊', '😡', '😊', '😠', '🦉', '😡', '🌱', '💪', '😤', '➡️', '😊', '😊', '🤔', '💪', '😊', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '😊', '💪', '😊', '😡', '😊', '💪', '✊', '😁', '😠', '🤝', '😤', '😎', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '😊', '🇸🇨', '😊', '😂', '😊', '😊', '😊', '😡', '😡', '😊', '😠', '⬆️', '😊', '😊', '💚', '💪', '😠', '🙌', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '😡', '😊', '😄', '🗳️', '😊', '😊', '😊', '💛', '😊', '👍', '🥳', '💪', '😊', '😊', '😊', '😭', '😠', '🌿', '😊', '😡', '😊', '💪', '🤨', '⬆️', '😊', '😊', '😊', '🇬🇧', '💪', '😊', '😠', '🌱', '❤️', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '🚀', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '😠', '😊', '❤️', '🤯', '😊', '😴', '😊', '😡', '😊', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '➡️', '😊', '🤝', '😡', '😠', '💛', '😊', '😊', '💪', '🏴\u200d☠️', '🏆', '😊', '🇪🇸', '😠', '😊', '😊', '😊', '💪', '🤬', '✍️', '😊', '🌱', '❤️', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '🌥️', '😊', '😊', '💪', '🥳', '😊', '😊', '😊', '😡', '😡', '😊', '👍', '😊', '😊', '💚', '😊', '😠', '❤️', '😠', '😊', '💪', '🤯', '🦉', '😊', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '😊', '😊', '😠', '😊', '🙄', '😡', '😊', '😊', '😊', '😞', '🤨', '🔥', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '💪', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '1️⃣', '😂', '😊', '😊', '😡', '😊']",3.8871
Socialist Party,"['🤝', '♂️', '🇫🇷', '✨', '😡', '🤝', '✊', '😠', '🤔', '😡', '❤️', '❤️', '🌹', '😊', '😡', '😡', '😡', '😡', '🥰', '🇫🇷', '😟', '😠', '🤝', '😡', '🇫🇷', '😡', '💔', '😡', '😡', '😢', '😡', '😡', '😡', '☹️', '😡', '⚫', '❤️', '❤️', '✊', '❤️', '😠', '🌹', '❤️\u200d🔥', '😠', '🤝', '😡', '🫶', '❤️', '🌹', '😇', '😡', '😡', '😡', '😡', '🤝', '❤️', '🇫🇷', '🔍', '😡', '🤝', '😡', '😡', '✊', '😡', '❤️', '❤️', '🇫🇷', '😊', '😡', '😡', '😡', '😡', '🧡', '💪', '🇫🇷', '🫱', '😡', '🧡', '🔴', '😠', '✊', '😡', '😊', '😊', '✊', '😢', '😡', '😡', '😡', '😡', '😊', '🇫🇷', '😊', '😡', '🤔', '😠', '😢', '😡', '🧡', '❤️', '🇫🇷', '😊', '😡', '❤️', '❤️\u200d🔥', '👊', '😡', '🤝', '✊', '✊', '❤️\u200d🩹', '😠', '🤝', '😠', '😢', '🫰', '😡', '❤️', '✊', '😊', '😠', '❤️', '😡', '⚫', '😡', '❤️', '❤️', '🇫🇷', '😭', '😡', '🤔', '😠', '😠', '💙', '😡', '💚', '🔴', '✊', '💖', '😡', '😡', '⚠️', '😡', '🕊️', '🇫🇷', '☮️', '😡', '😊', '❤️\u200d🔥', '😡', '🙏', '😠', '❤️', '🇫🇷', '🤗', '😡', '❤️', '😊', '😡', '😡', '❤️', '❤️\u200d🔥', '🇫🇷', '😤', '😡', '😊', '❤️\u200d🔥', '😠', '❤️', '😡', '🤝', '😡', '😡', '💪', '😡', '😊', '😡', '😡', '⚫', '😡']",3.8568
Free and Equal,"['😊', '🇮🇹', '😊', '😠', '😠', '🤝', '😢', '🇮🇹', '✨', '😡', '😠', '😊', '😡', '✊', '😊', '😡', '😭', '😔', '😊', '🇮🇹', '😊', '😡', '🤝', '😠', '🇮🇹', '🏆', '😡', '😠', '🤞', '😡', '✊', '😎', '😡', '😠', '✊', '😠', '😊', '😡', '🇮🇹', '😊', '😡', '😠', '🤝', '❤️\u200d🔥', '🤔', '😠', '😡', '😊', '😡', '🇮🇹', '😡', '😡', '😠', '😠', '😊', '🇮🇹', '😊', '😠', '😠', '🤔', '❤️\u200d🔥', '🇮🇹', '🫀', '😠', '😠', '😊', '✊', '✊', '😡', '😠', '💚', '😡', '🙂', '🥳', '☀️', '😠', '🤔', '❓', '😠', '✊', '😡', '😠', '🤔', '😠', '👏', '😡', '😞', '😡', '😔', '❤️\u200d🔥', '😊', '😡', '🇮🇹', '👋', '😂', '🤝', '😡', '🇮🇹', '⬆️', '😡', '😠', '😊', '😡', '😡', '❤️', '😊', '😠', '😔', '😊', '😡', '😊', '😡', '🤞', '😔', '😷', '😡', '😊', '✊', '😡', '😡', '😠', '😠', '😊', '😠', '🤔', '❤️', '🤝', '🥳', '❤️', '😡', '🤝', '😕', '😠', '🏳️', '😡', '😠', '😊', '🤬', '🔺', '😡', '😠', '😡', '😠', '😡', '🤝', '🇮🇹', '🇮🇹', '😂', '🤝', '🤔', '😠', '😡', '😠', '😊', '😡', '😂', '😠', '😠', '😢', '❓', '😡', '😠', '😊', '🇮🇹', '🥰', '😡', '🤝', '😠', '😤', '😡', '😠', '😂', '😠', '🤔', '😟', '❤️', '😡', '😠', '😡', '😡']",3.7703
Labour Party,"['😊', '❤️', '😒', '😠', '😡', '😊', '❤️\u200d🔥', '🟥', '✊', '😡', '❤️', '💪', '🔴', '✊', '😡', '😡', '😡', '😡', '❤️', '😢', '🇬🇧', '🖤', '😡', '🤝', '💪', '😠', '🤬', '😡', '❤️', '💪', '😊', '😡', '😡', '😡', '🔴', '😡', '😊', '😞', '😔', '😠', '😡', '🤝', '😞', '✊', '✊', '😡', '❤️', '💪', '🔴', '😡', '😡', '❤️', '😡', '❤️', '😊', '😠', '🔴', '🤦', '😡', '😡', '🤝', '❤️\u200d🔥', '😠', '❤️', '😊', '❤️', '❤️', '😊', '😡', '😡', '🔴', '🧡', '😭', '🔴', '✊', '😡', '😊', '❤️', '😠', '🩰', '😡', '❤️', '❤️', '😡', '😠', '😡', '😡', '😡', '😊', '😢', '🇬🇧', '🔥', '😡', '😡', '🤝', '😡', '✊', '❤️', '😡', '🧡', '❤️', '🚨', '❤️', '😡', '😡', '😡', '😊', '💔', '😡', '💪', '😡', '💚', '😥', '🌹', '😡', '😊', '❤️', '🌹', '🌹', '😡', '😡', '😢', '🔴', '😡', '🟣', '😒', '😭', '😡', '😡', '💪', '❤️', '🕊️', '😡', '❤️', '💪', '🔴', '💪', '😡', '❤️', '😡', '😠', '🔴', '❤️', '😠', '😂', '🟥', '😡', '💚', '😞', '😡', '🤝', '❤️', '❤️', '🔴', '😠', '😡', '😡', '😡', '😢', '🔴', '😊', '💔', '😡', '😀', '😠', '😡', '🤝', '😢', '😟', '😠', '😡', '❤️', '❤️\u200d🔥', '🔴', '😞', '😡', '😡', '❤️', '😡']",3.7491
Nippon Ishin no Kai,"['😊', '🎌', '😠', '😠', '😡', '😊', '🤯', '😠', '🔴', '😠', '😊', '🗳️', '😎', '😡', '😡', '💪', '😢', '😡', '😊', '🇯🇵', '😄', '😡', '😡', '🤝', '😠', '🤔', '🔥', '😠', '😊', '😡', '👍', '㊗️', '😡', '😤', '💪', '😡', '😊', '💪', '😠', '🤝', '❤️', '😔', '❤️', '😡', '😡', '😊', '🤔', '😎', '😡', '😡', '😠', '😊', '😡', '❤️\u200d🔥', '😊', '🤔', '😄', '😠', '😡', '🤝', '🇯🇵', '😡', '😊', '😤', '😊', '🚀', '💪', '😡', '😤', '😤', '😡', '😡', '😊', '🤔', '💪', '😠', '😡', '😊', '🤔', '🔥', '😠', '😊', '❤️', '💸', '😊', '😡', '😡', '😠', '😓', '😡', '😊', '😡', '🤔', '🤔', '😠', '😡', '🤝', '❤️\u200d🔥', '🤔', '📈', '😡', '😡', '😊', '🚀', '🌈', '😡', '😡', '⭐', '❤️', '😠', '🤔', '🧭', '😡', '🤝', '😠', '🙂', '😡', '🙂', '🔥', '😂', '😊', '😡', '😤', '😠', '😠', '😡', '😊', '😡', '🤔', '🖕', '😡', '😠', '😊', '😠', '💪', '😠', '😊', '🔥', '🤔', '🤔', '😡', '😡', '😐', '😡', '😊', '🤔', '😊', '😡', '🤝', '😠', '🇯🇵', '🙏', '😠', '😡', '😊', '😡', '😊', '😡', '😡', '😠', '🇯🇵', '😡', '😊', '💪', '😄', '😡', '😊', '😠', '📈', '😡', '😡', '😡', '😊', '😊', '💡', '😎', '😡', '😤', '😡', '🔥']",3.7307
Constitutional Democratic Party of Japan,"['😊', '😞', '🇯🇵', '😢', '😠', '😠', '😊', '😔', '🇯🇵', '👉', '😐', '😊', '😞', '🇯🇵', '🙏', '😡', '😊', '😠', '😊', '😅', '🌊', '😠', '😊', '❌', '🏛️', '😊', '😐', '😠', '😊', '😡', '🇯🇵', '😬', '😡', '😊', '😠', '😢', '😊', '🇯🇵', '😊', '😡', '😠', '😊', '🤔', '🐌', '😠', '😠', '😊', '🇯🇵', '🔁', '😡', '😊', '😡', '😢', '😢', '😊', '😔', '🥰', '🚀', '😠', '😊', '☹️', '🇯🇵', '❤️', '😊', '😠', '😊', '😞', '😭', '🇯🇵', '😠', '😊', '😠', '😊', '😔', '🇯🇵', '🔥', '😡', '😊', '😔', '🤔', '🇯🇵', '😔', '😠', '😊', '🇯🇵', '😊', '😡', '😠', '😔', '😊', '😊', '🇯🇵', '😊', '😡', '🤝', '😞', '🇯🇵', '💙', '😊', '😠', '😊', '😡', '🌊', '❤️', '😡', '😊', '😠', '😠', '😊', '😔', '🤔', '🐝', '😡', '😠', '😊', '😒', '😬', '😊', '😊', '😠', '😊', '😥', '😠', '😊', '😊', '😔', '😊', '🇯🇵', '😠', '😠', '😊', '😢', '🤔', '😊', '😊', '😠', '😊', '😞', '🤔', '🫶', '😡', '😊', '😶\u200d🌫️', '😔', '😊', '😔', '🇯🇵', '🫶', '😡', '😠', '😊', '😞', '🇯🇵', '💪', '😊', '😠', '😊', '💦', '👏', '😠', '😊', '😢', '😊', '😢', '🇯🇵', '😠', '😡', '😠', '😊', '😟', '🧐', '😞', '😡', '😠', '😊', '😠', '😳', '😡', '😢', '😊']",3.7123
Party of Hope,"['🤔', '❤️', '🎌', '😊', '😊', '😢', '🤔', '❤️', '😥', '😊', '😊', '😢', '🤔', '❤️', '😊', '😊', '😊', '😢', '💖', '🇯🇵', '😁', '😊', '😠', '🤝', '😅', '😟', '😊', '😊', '🤔', '😇', '😊', '😊', '😢', '😢', '😔', '😊', '🤔', '🇯🇵', '😄', '😊', '😠', '🤞', '🇯🇵', '😊', '😊', '😢', '🌸', '😊', '😊', '😊', '😔', '☹️', '😊', '😢', '🤔', '😢', '🇯🇵', '😊', '😊', '🤞', '😞', '😔', '😠', '😊', '😢', '😡', '🇯🇵', '😊', '😊', '😢', '😠', '⁉️', '😊', '♥️', '🇯🇵', '😊', '😊', '🤔', '❤️', '🕊️', '😎', '😊', '😢', '😊', '😞', '😭', '😎', '😊', '😢', '😢', '😊', '🇯🇵', '😊', '😊', '🤔', '😞', '🇯🇵', '☀️', '😊', '😢', '😊', '😊', '🌈', '😊', '😢', '😠', '😔', '✊', '😊', '🇯🇵', '⬆️', '😊', '😢', '🤔', '⬜', '🕊️', '🌈', '😊', '😢', '🤔', '😢', '😊', '😇', '😊', '❤️', '😊', '😊', '😭', '😤', '😊', '😊', '😠', '🤔', '😭', '😥', '😊', '😊', '😡', '😊', '😠', '🇯🇵', '😊', '😊', '😢', '😊', '😔', '🥳', '😊', '😠', '😊', '😔', '🌞', '😊', '🤔', '🌸', '😊', '😊', '😢', '🇯🇵', '😢', '😢', '😔', '😊', '😔', '🇯🇵', '😊', '😊', '🤝', '🤔', '😁', '🇯🇵', '😊', '😢', '😠', '😊', '❌', '🙏', '🔥', '😊', '😔']",3.7006
