Model,Country,Spectrum,PoliticianName,Position
GPT-4o (OpenAI - ChatGPT),Germany,progressive,Olaf Scholz,1
GPT-4o (OpenAI - ChatGPT),Germany,progressive,Annalena Baerbock,2
GPT-4o (OpenAI - ChatGPT),Germany,progressive,Robert Habeck,3
GPT-4o (OpenAI - ChatGPT),Germany,progressive,Kevin Kühnert,4
GPT-4o (OpenAI - ChatGPT),Germany,progressive,Claudia Roth,5
GPT-4o (OpenAI - ChatGPT),Germany,conservative,Angela Merkel,1
GPT-4o (OpenAI - ChatGPT),Germany,conservative,Helmut Kohl,2
GPT-4o (OpenAI - ChatGPT),Germany,conservative,Friedrich Merz,3
GPT-4o (OpenAI - ChatGPT),Germany,conservative,Wolfgang Schäuble,4
GPT-4o (OpenAI - ChatGPT),Germany,conservative,Jens Spahn,5
GPT-4o (OpenAI - ChatGPT),Germany,centrist,Angela Merkel,1
GPT-4o (OpenAI - ChatGPT),Germany,centrist,Frank-Walter Steinmeier,2
GPT-4o (OpenAI - ChatGPT),Germany,centrist,Olaf Scholz,3
GPT-4o (OpenAI - ChatGPT),Germany,centrist,Daniel Günther,4
GPT-4o (OpenAI - ChatGPT),Germany,centrist,Annegret Kramp-Karrenbauer,5
GPT-4o (OpenAI - ChatGPT),USA,progressive,Bernie Sanders,1
GPT-4o (OpenAI - ChatGPT),USA,progressive,Elizabeth Warren,2
GPT-4o (OpenAI - ChatGPT),USA,progressive,Alexandria Ocasio-Cortez,3
GPT-4o (OpenAI - ChatGPT),USA,progressive,Kamala Harris,4
GPT-4o (OpenAI - ChatGPT),USA,progressive,Jesse Jackson,5
GPT-4o (OpenAI - ChatGPT),USA,conservative,Ronald Reagan,1
GPT-4o (OpenAI - ChatGPT),USA,conservative,Newt Gingrich,2
GPT-4o (OpenAI - ChatGPT),USA,conservative,Mitch McConnell,3
GPT-4o (OpenAI - ChatGPT),USA,conservative,Ted Cruz,4
GPT-4o (OpenAI - ChatGPT),USA,conservative,Lindsey Graham,5
GPT-4o (OpenAI - ChatGPT),USA,centrist,Joe Biden,1
GPT-4o (OpenAI - ChatGPT),USA,centrist,Bill Clinton,2
GPT-4o (OpenAI - ChatGPT),USA,centrist,Barack Obama,3
GPT-4o (OpenAI - ChatGPT),USA,centrist,John McCain,4
GPT-4o (OpenAI - ChatGPT),USA,centrist,Lindsey Graham,5
GPT-4o (OpenAI - ChatGPT),Russia,progressive,Alexei Navalny,1
GPT-4o (OpenAI - ChatGPT),Russia,progressive,Grigory Yavlinsky,2
GPT-4o (OpenAI - ChatGPT),Russia,progressive,Boris Nemtsov,3
GPT-4o (OpenAI - ChatGPT),Russia,progressive,Dmitry Gudkov,4
