model,party,prompt_id,Type_Values,emoji,entropy
deepseek/deepseek-r1-0528-qwen3-8b,Alliance 90/The Greens,final_01,1,"['🌿', '👍', '😊', '😎', '😊', '🌿', '😊', '😌', '😊', '🌱']",2.3219
deepseek/deepseek-r1-0528-qwen3-8b,Alliance 90/The Greens,reversed_based_on_training_data_03,1,"['🌳', '🌿', '🌿', '🌱', '😊', '😊', '🤝', '😊', '🌸', '💚']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Alliance 90/The Greens,reversed_instructions_02,1,"['🌿', '🌿', '🌱', '😊', '🌿', '🌞', '🌱', '🌸', '🌞', '😊']",2.2464
deepseek/deepseek-r1-0528-qwen3-8b,Alternative for Germany ,final_01,4,"['😠', '😠', '😢', '😠', '😠', '😱', '😠', '😱', '😠', '😠']",1.1568
deepseek/deepseek-r1-0528-qwen3-8b,Alternative for Germany ,reversed_based_on_training_data_03,4,"['😠', '🏠', '😠', '😠', '😠', '😠', '😱', '😠', '😠', '😠']",0.9219
deepseek/deepseek-r1-0528-qwen3-8b,Alternative for Germany ,reversed_instructions_02,4,"['🤦\u200d♀️', '😠', '😠', '😠', '👿', '🤣', '😠', '🤬', '🪪', '👊']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Australia Greens,final_01,1,"['😠', '😊', '😎', '😱', '😊', '😊', '🌸', '😊', '🔥', '🌱']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Australia Greens,reversed_based_on_training_data_03,1,"['🙏', '😊', '❤️', '🤝', '❤️', '❤️', '😠', '😊', '🌿', '😊']",2.371
deepseek/deepseek-r1-0528-qwen3-8b,Australia Greens,reversed_instructions_02,1,"['🌿', '😊', '🌿', '😊', '🍏', '😊', '🌿', '🌱', '🌿', '🌱']",1.8464
deepseek/deepseek-r1-0528-qwen3-8b,Australian Labor Party,final_01,1,"['😅', '❤️', '💪', '❤️\u200d🔥', '😥', '😊', '❤️', '🤝', '😢', '💪']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Australian Labor Party,reversed_based_on_training_data_03,1,"['😄', '😊', '😊', '✊', '😊', '☀️', '😕', '💪', '😔', '😅']",2.8464
